week_start,week,pl,route_day,visit_kind,stop,account,role,band,tier,wave,spine_2026,total_b2b,practice_type,city,days_since_visit_jul16,is_first_visit,cycle,base_day,base_stop
2026-07-22,C1-W1,Coty,Day 01,First pass,1,Chronic Pain Institute,Protect (LAPSED),Repeat Spine Referrer,Tier 1,Wave 1,2,2,Pain,Sterling Heights,44.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 01,First pass,2,Gilead Pain Care,Prospect first-touch,Visit / Prospect,Prospect,Wave 2,0,0,Pain,Clinton Township,337.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 01,First pass,3,The Family Doctor,Protect,Repeat Spine Referrer,Tier 1,Wave 1,2,3,PCP,Clinton Township,6.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 01,First pass,4,Henry Ford Macomb Internal Medicine,Reactivate,One Spine Patient,Tier 1,Wave 1,1,4,PCP,Sterling Heights,30.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 01,First pass,5,Corondan Medical,Ortho cross-sell,Ortho Referrer,Tier 2,Wave 2,0,1,PCP,Warren,90.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 01,First pass,6,DMC Orthopedics & Sports Medicine - Warren,Convert to repeat,One Spine Patient,Tier 1,Wave 1,1,1,Orthopedic,Sterling Heihhts,20.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 01,First pass,7,Office of Steven Trombly MD,Convert to repeat,One Spine Patient,Tier 1,Wave 1,1,7,PCP,Sterling Heights,7.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 01,First pass,8,Somerset Family Medicine - Sterling Heights,Prospect first-touch,Visit / Prospect,Prospect,Wave 2,0,0,PCP,Sterling Heights,14.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 01,First pass,9,Urgent Care Family,Ortho cross-sell,Ortho Referrer,Tier 2,Wave 2,0,1,Urgent Care,Sterling Heights,21.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 01,First pass,10,Macomb Physicians Group,Convert to repeat,One Spine Patient,Tier 1,Wave 1,1,9,PCP,Sterling Heights,14.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 03,First pass,1,Berkley Primary Care,Prospect first-touch,Visit / Prospect,Prospect,Wave 2,0,0,PCP,Huntington Woods,29.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 03,First pass,2,Epic Primary Care - Ferndale,Reactivate,One Spine Patient,Tier 1,Wave 1,1,4,PCP,Ferndale,56.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 03,First pass,3,Oak Street Health – Hazel Park,Prospect first-touch,Visit / Prospect,Prospect,Wave 2,0,0,PCP,Hazel Park,22.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 03,First pass,4,Primary Medical Services,Prospect first-touch,Visit / Prospect,Prospect,Wave 2,0,0,PCP,HAZEL PARK,22.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 03,First pass,5,John R Medical Clinic,Ortho cross-sell,Ortho Referrer,Tier 2,Wave 2,0,1,PCP,Madison Heights,22.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 03,First pass,6,Madison Medical Arts,Convert to repeat,One Spine Patient,Tier 1,Wave 1,1,1,PCP,Madison Heights,22.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 03,First pass,7,Dennis G Kelly DO,Prospect first-touch,Visit / Prospect,Prospect,Wave 2,0,0,Orthopedic,Madison Heights,76.0,True,C1 (executed as planned — true-up from MMC export),,
2026-07-22,C1-W1,Coty,Day 03,First pass,8,MHP Internal Medicine,Ortho cross-sell,Ortho Referrer,Tier 2,Wave 2,0,1,PCP,Madison Heights,45.0,True,C1 (executed as planned — true-up from MMC export),,
